id,title,description,image_link,link,price,currency,availability,brand,google_product_category
13331,Liverpool (DAYTIME SHOW): 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. Our shows will have one of our AMAZING bingo hosts to give you the best Bongo's Bingo experience!,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-18-Liverpool.jpg,https://www.bongosbingo.co.uk/event-date/13331/liverpool-daytime-show-250426/,21.00,GBP,in stock,Bongos Bingo,Events
13406,Glasgow presents 90s vs 00s (DAYTIME SHOW): 25/04/26,"90s vs 00s: It’s time to settle the argument. Two eras. Two soundtracks. One gloriously chaotic game of Bongo’s Bingo. The 90s bring the anthems you grew up on — hands-in-the-air choruses, iconic pop moments and tunes that still absolutely go off. The 00s fire back with guilty pleasures, club classics and songs you know every word to, whether you admit it or not. All night long we’re putting them head-to-head with the tunes, the prizes and the bragging rights on the line. And yes, fancy dress ideas galore. Think double denim, shell suits and bucket hats versus velour tracksuits, trucker caps and low-rise chaos. If you’ve ever wanted an excuse to dress like a pop star, this is it. Expect huge singalongs, ridiculous prizes, confetti everywhere and a room full of people losing their voices. Bongo’s Bingo: 90s v 00s. Pick a side. Dress the part. Lose all dignity. Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. Please note: We ask all groups to arrive at the venue together. If you cannot all arrive together, please ensure that the correct tickets are distributed to the correct person. If a customer tries to gain entry into the venue using an already scanned ticket, they may be refused entry.",https://cdn.bongosbingo.co.uk/media/event_date_description/90s-Vs-00s-SQUARE.jpg,https://www.bongosbingo.co.uk/event-date/13406/glasgow-presents-90s-vs-00s-daytime-show-250426/,22.00,GBP,out of stock,Bongos Bingo,Events
13357,Manchester (DAYTIME SHOW): 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-15-Manchester.jpg,https://www.bongosbingo.co.uk/event-date/13357/manchester-daytime-show-250426/,19.00,GBP,in stock,Bongos Bingo,Events
13375,Scunthorpe: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-11-Scunthorpe.jpg,https://www.bongosbingo.co.uk/event-date/13375/scunthorpe-250426/,16.00,GBP,in stock,Bongos Bingo,Events
13384,Southampton: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-15-Southampton.jpg,https://www.bongosbingo.co.uk/event-date/13384/southampton-250426/,16.00,GBP,in stock,Bongos Bingo,Events
13303,Brighton: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries. ID is required from everybody regardless of age. ID must either be one of the following: Drivers Licence Passport National ID card Pass Logo Age Verification Card,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-9-Brighton.jpg,https://www.bongosbingo.co.uk/event-date/13303/brighton-250426/,18.00,GBP,out of stock,Bongos Bingo,Events
13369,Nottingham: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-5-Nottingham.jpg,https://www.bongosbingo.co.uk/event-date/13369/nottingham-250426/,17.00,GBP,out of stock,Bongos Bingo,Events
13371,Preston: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-7-Preston.jpg,https://www.bongosbingo.co.uk/event-date/13371/preston-250426/,16.00,GBP,in stock,Bongos Bingo,Events
13377,Shrewsbury: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-13-Shrewsbury.jpg,https://www.bongosbingo.co.uk/event-date/13377/shrewsbury-250426/,15.00,GBP,in stock,Bongos Bingo,Events
13337,London Bridge: 25/04/26,BINGO RAVE CHEESY SINGALONGS DANCE OFFS SICK PRIZES & CASH CASH MONEY TO BE WON Each venue will have a different layout and facilities and so we would always recommend contacting the venues directly if you have any specific access enquiries.,https://cdn.bongosbingo.co.uk/media/event_date_description/Image-6-London_Bridge.jpg,https://www.bongosbingo.co.uk/event-date/13337/london-bridge-250426/,20.00,GBP,out of stock,Bongos Bingo,Events
